"cause_name","sex","age","deaths"
"Alcohol use disorders","Male","65 to 69",521.40343288088
"Alcohol use disorders","Male","70 to 74",308.96580429912
"Alcohol use disorders","Male","75 to 79",365.79069774199
"Alcohol use disorders","Male","80 plus",477.8824818027
"Alcohol use disorders","Male","Under 5",NA
"Alzheimer disease and other dementias","Female","40 to 44",2.7117293735743
"Alzheimer disease and other dementias","Female","45 to 49",35.898107696891
"Alzheimer disease and other dementias","Female","50 to 54",176.89848697662
"Alzheimer disease and other dementias","Female","55 to 59",657.9022625885
"Alzheimer disease and other dementias","Female","60 to 64",1447.5841104279
"Alzheimer disease and other dementias","Female","65 to 69",2401.5853424072
"Alzheimer disease and other dementias","Female","70 to 74",4673.3460050049
"Alzheimer disease and other dementias","Female","75 to 79",7810.9118959351
"Alzheimer disease and other dementias","Female","80 plus",37242.045303711
"Alzheimer disease and other dementias","Male","40 to 44",2.8142226161808
"Alzheimer disease and other dementias","Male","45 to 49",35.73874320507
"Alzheimer disease and other dementias","Male","50 to 54",206.72687667274
"Alzheimer disease and other dementias","Male","55 to 59",842.01483161163
"Alzheimer disease and other dementias","Male","60 to 64",1843.365568634
"Alzheimer disease and other dementias","Male","65 to 69",2900.6524584961
"Alzheimer disease and other dementias","Male","70 to 74",5296.1877156372
"Alzheimer disease and other dementias","Male","75 to 79",7939.996685791
"Alzheimer disease and other dementias","Male","80 plus",36821.076364258
"Animal contact","Female","10 to 14",888.29360315132
"Animal contact","Female","15 to 19",1223.2050870743
"Animal contact","Female","20 to 24",841.21530651665
"Animal contact","Female","25 to 29",912.76767690659
"Animal contact","Female","30 to 34",719.95366765022
"Animal contact","Female","35 to 39",654.37737759018
"Animal contact","Female","40 to 44",1096.9910551262
"Animal contact","Female","45 to 49",963.26363686752
"Animal contact","Female","5 to 9",1377.0967763367
"Animal contact","Female","50 to 54",1452.1332900696
"Animal contact","Female","55 to 59",1334.3603508129
"Animal contact","Female","60 to 64",1554.0153877068
"Animal contact","Female","65 to 69",1296.70065625
"Animal contact","Female","70 to 74",1112.4669574871
"Animal contact","Female","75 to 79",573.44648029423
"Animal contact","Female","80 plus",1427.0476160126
"Animal contact","Female","Under 5",2559.4993700961
"Animal contact","Male","10 to 14",1812.2080051117
"Animal contact","Male","15 to 19",1569.4436317825
"Animal contact","Male","20 to 24",1654.9625747681
"Animal contact","Male","25 to 29",1792.3087921944
"Animal contact","Male","30 to 34",2323.4512428818
"Animal contact","Male","35 to 39",1361.2895454903
"Animal contact","Male","40 to 44",2155.1133235016
"Animal contact","Male","45 to 49",2610.551312912
"Animal contact","Male","5 to 9",1908.4536245804
"Animal contact","Male","50 to 54",2016.7108531189
"Animal contact","Male","55 to 59",2615.0917545929
"Animal contact","Male","60 to 64",1979.8938395538
"Animal contact","Male","65 to 69",1465.0341604996
"Animal contact","Male","70 to 74",1138.4123111458
"Animal contact","Male","75 to 79",986.86698780441
"Animal contact","Male","80 plus",1045.4727668839
"Animal contact","Male","Under 5",2523.6645310085
"Anxiety disorders","Female","10 to 14",NA
"Anxiety disorders","Female","15 to 19",NA
"Anxiety disorders","Female","20 to 24",NA
"Anxiety disorders","Female","25 to 29",NA
"Anxiety disorders","Female","30 to 34",NA
"Anxiety disorders","Female","35 to 39",NA
"Anxiety disorders","Female","40 to 44",NA
"Anxiety disorders","Female","45 to 49",NA
"Anxiety disorders","Female","5 to 9",NA
"Anxiety disorders","Female","50 to 54",NA
"Anxiety disorders","Female","55 to 59",NA
"Anxiety disorders","Female","60 to 64",NA
"Anxiety disorders","Female","65 to 69",NA
"Anxiety disorders","Female","70 to 74",NA
"Anxiety disorders","Female","75 to 79",NA
"Anxiety disorders","Female","80 plus",NA
"Anxiety disorders","Female","Under 5",NA
"Anxiety disorders","Male","10 to 14",NA
"Anxiety disorders","Male","15 to 19",NA
"Anxiety disorders","Male","20 to 24",NA
"Anxiety disorders","Male","25 to 29",NA
"Anxiety disorders","Male","30 to 34",NA
"Anxiety disorders","Male","35 to 39",NA
"Anxiety disorders","Male","40 to 44",NA
"Anxiety disorders","Male","45 to 49",NA
"Anxiety disorders","Male","5 to 9",NA
"Anxiety disorders","Male","50 to 54",NA
"Anxiety disorders","Male","55 to 59",NA
"Anxiety disorders","Male","60 to 64",NA
"Anxiety disorders","Male","65 to 69",NA
"Anxiety disorders","Male","70 to 74",NA
"Anxiety disorders","Male","75 to 79",NA
"Anxiety disorders","Male","80 plus",NA
"Anxiety disorders","Male","Under 5",NA
"Aortic aneurysm","Female","15 to 19",37.259143454313
"Aortic aneurysm","Female","20 to 24",43.235739598274
"Aortic aneurysm","Female","25 to 29",60.613281601667
"Aortic aneurysm","Female","30 to 34",73.451655336618
"Aortic aneurysm","Female","35 to 39",92.834570529938
"Aortic aneurysm","Female","40 to 44",126.17899905491
"Aortic aneurysm","Female","45 to 49",205.92887038612
"Aortic aneurysm","Female","50 to 54",257.44843051147
"Aortic aneurysm","Female","55 to 59",425.67379604149
"Aortic aneurysm","Female","60 to 64",656.24349111557
"Aortic aneurysm","Female","65 to 69",777.39538776398
"Aortic aneurysm","Female","70 to 74",1060.0806455803
"Aortic aneurysm","Female","75 to 79",1008.4600557938
"Aortic aneurysm","Female","80 plus",1493.0541548157
"Aortic aneurysm","Male","15 to 19",34.38478153801
"Aortic aneurysm","Male","20 to 24",51.00779100275
"Aortic aneurysm","Male","25 to 29",102.9145255394
"Aortic aneurysm","Male","30 to 34",147.42019343376
"Aortic aneurysm","Male","35 to 39",272.80965154457
"Aortic aneurysm","Male","40 to 44",341.40582566071
"Aortic aneurysm","Male","45 to 49",512.5134510498
"Aortic aneurysm","Male","50 to 54",782.67885929871
"Aortic aneurysm","Male","55 to 59",1240.1635613327
"Aortic aneurysm","Male","60 to 64",1719.8320823364
"Aortic aneurysm","Male","65 to 69",1926.954445343
"Aortic aneurysm","Male","70 to 74",2106.9831050415
"Aortic aneurysm","Male","75 to 79",1761.3633562622
"Aortic aneurysm","Male","80 plus",1911.5301592407
"Appendicitis","Female","10 to 14",344.61289358592
"Appendicitis","Female","15 to 19",485.9199338975
"Appendicitis","Female","20 to 24",783.77703836966
"Appendicitis","Female","25 to 29",518.34784513474
"Appendicitis","Female","30 to 34",303.71445638037
"Appendicitis","Female","35 to 39",896.44070046616
"Appendicitis","Female","40 to 44",700.17494198799
"Appendicitis","Female","45 to 49",640.97612494183
"Appendicitis","Female","5 to 9",174.95768149948
"Appendicitis","Female","50 to 54",945.20179520512
"Appendicitis","Female","55 to 59",451.44708337879
"Appendicitis","Female","60 to 64",1309.9927084198
"Appendicitis","Female","65 to 69",808.85799483109
"Appendicitis","Female","70 to 74",1877.0948368301
"Appendicitis","Female","75 to 79",1151.8445502739
"Appendicitis","Female","80 plus",2570.6958609123
"Appendicitis","Female","Under 5",138.42973810309
"Appendicitis","Male","10 to 14",183.97002131486
"Appendicitis","Male","15 to 19",1657.5733358727
"Appendicitis","Male","20 to 24",901.99359988976
"Appendicitis","Male","25 to 29",1756.7396592064
"Appendicitis","Male","30 to 34",387.33187977982
"Appendicitis","Male","35 to 39",1803.2132031612
"Appendicitis","Male","40 to 44",3808.8889803085
"Appendicitis","Male","45 to 49",2100.8872260914
"Appendicitis","Male","5 to 9",94.498036787868
"Appendicitis","Male","50 to 54",1376.8067004471
"Appendicitis","Male","55 to 59",1427.0034826698
"Appendicitis","Male","60 to 64",812.6014017601
"Appendicitis","Male","65 to 69",2352.8980355072
"Appendicitis","Male","70 to 74",1444.4595357723
"Appendicitis","Male","75 to 79",1292.9483343716
"Appendicitis","Male","80 plus",1401.1720732498
"Appendicitis","Male","Under 5",32.029970167696
"Asthma","Female","10 to 14",483.69471163559
"Asthma","Female","15 to 19",490.45690159416
"Asthma","Female","20 to 24",604.8377322607
"Asthma","Female","25 to 29",819.18918625069
"Asthma","Female","30 to 34",1016.0165926456
"Asthma","Female","35 to 39",2282.3856043053
"Asthma","Female","40 to 44",3024.3890547485
"Asthma","Female","45 to 49",5659.2745329971
"Asthma","Female","5 to 9",478.76647655869
"Asthma","Female","50 to 54",5302.7110980988
"Asthma","Female","55 to 59",9266.023515976
"Asthma","Female","60 to 64",13248.433316422
"Asthma","Female","65 to 69",15169.487853424
"Asthma","Female","70 to 74",19040.427914429
"Asthma","Female","75 to 79",16620.231395538
"Asthma","Female","80 plus",23937.409676209
"Asthma","Female","Under 5",897.6658142395
"Asthma","Male","10 to 14",388.98146315384
"Asthma","Male","15 to 19",447.45781139755
"Asthma","Male","20 to 24",859.64325427246
"Asthma","Male","25 to 29",1471.0070617065
"Asthma","Male","30 to 34",1180.23573526
"Asthma","Male","35 to 39",2946.4724459381
"Asthma","Male","40 to 44",3395.8567101288
"Asthma","Male","45 to 49",4589.9224793701
"Asthma","Male","5 to 9",428.00199824905
"Asthma","Male","50 to 54",5327.0034358826
"Asthma","Male","55 to 59",10254.842647217
"Asthma","Male","60 to 64",14174.471230164
"Asthma","Male","65 to 69",16831.544961548
"Asthma","Male","70 to 74",16367.678550598
"Asthma","Male","75 to 79",13841.992401733
"Asthma","Male","80 plus",15154.792098145
"Asthma","Male","Under 5",741.68160866928
"Atrial fibrillation and flutter","Female","30 to 34",5.2343449356854
"Atrial fibrillation and flutter","Female","35 to 39",4.5006199458838
"Atrial fibrillation and flutter","Female","40 to 44",5.514826742202
"Atrial fibrillation and flutter","Female","45 to 49",10.354742138386
"Atrial fibrillation and flutter","Female","50 to 54",12.739735305727
"Atrial fibrillation and flutter","Female","55 to 59",28.356089119673
"Atrial fibrillation and flutter","Female","60 to 64",39.73193605268
"Atrial fibrillation and flutter","Female","65 to 69",48.690364131331
"Atrial fibrillation and flutter","Female","70 to 74",84.760282094717
"Atrial fibrillation and flutter","Female","75 to 79",111.64383855343
"Atrial fibrillation and flutter","Female","80 plus",279.81643678665
"Atrial fibrillation and flutter","Male","30 to 34",6.371593162775
"Atrial fibrillation and flutter","Male","35 to 39",8.7359601919055
"Atrial fibrillation and flutter","Male","40 to 44",12.467968619347
"Atrial fibrillation and flutter","Male","45 to 49",18.36525208199
"Atrial fibrillation and flutter","Male","50 to 54",32.99775609386
"Atrial fibrillation and flutter","Male","55 to 59",49.037018022299
"Atrial fibrillation and flutter","Male","60 to 64",73.851213594914
