"cause_name","sex","age","ylds"
"Alcohol use disorders","Male","65 to 69",15280.847256024
"Alcohol use disorders","Male","70 to 74",7387.5863032976
"Alcohol use disorders","Male","75 to 79",3840.2480662495
"Alcohol use disorders","Male","80 plus",3310.8684820714
"Alcohol use disorders","Male","Under 5",723.40111687521
"Alzheimer disease and other dementias","Female","40 to 44",270.84170424848
"Alzheimer disease and other dementias","Female","45 to 49",1562.928599712
"Alzheimer disease and other dementias","Female","50 to 54",4862.6111687235
"Alzheimer disease and other dementias","Female","55 to 59",13221.846521849
"Alzheimer disease and other dementias","Female","60 to 64",23997.346567018
"Alzheimer disease and other dementias","Female","65 to 69",33989.967499205
"Alzheimer disease and other dementias","Female","70 to 74",51129.782668512
"Alzheimer disease and other dementias","Female","75 to 79",56764.244996799
"Alzheimer disease and other dementias","Female","80 plus",149963.09968225
"Alzheimer disease and other dementias","Male","40 to 44",275.46158294651
"Alzheimer disease and other dementias","Male","45 to 49",1559.9140653549
"Alzheimer disease and other dementias","Male","50 to 54",4705.5890301377
"Alzheimer disease and other dementias","Male","55 to 59",12394.391368812
"Alzheimer disease and other dementias","Male","60 to 64",20439.593825512
"Alzheimer disease and other dementias","Male","65 to 69",24260.500516523
"Alzheimer disease and other dementias","Male","70 to 74",33377.076015603
"Alzheimer disease and other dementias","Male","75 to 79",36929.336101853
"Alzheimer disease and other dementias","Male","80 plus",94240.262627914
"Animal contact","Female","10 to 14",2937.440688832
"Animal contact","Female","15 to 19",3776.4790362607
"Animal contact","Female","20 to 24",4520.2168521866
"Animal contact","Female","25 to 29",4963.6635477195
"Animal contact","Female","30 to 34",5112.4720911187
"Animal contact","Female","35 to 39",5120.5667377427
"Animal contact","Female","40 to 44",5000.1520007841
"Animal contact","Female","45 to 49",4940.5298237446
"Animal contact","Female","5 to 9",2051.2549698395
"Animal contact","Female","50 to 54",4744.3935585571
"Animal contact","Female","55 to 59",4442.1277417182
"Animal contact","Female","60 to 64",3773.6946857256
"Animal contact","Female","65 to 69",2922.5397588626
"Animal contact","Female","70 to 74",2382.7306427353
"Animal contact","Female","75 to 79",1740.475552305
"Animal contact","Female","80 plus",1780.5334942083
"Animal contact","Female","Under 5",911.33798283287
"Animal contact","Male","10 to 14",5744.4022320631
"Animal contact","Male","15 to 19",7475.5512999341
"Animal contact","Male","20 to 24",9288.8765395816
"Animal contact","Male","25 to 29",10917.310482772
"Animal contact","Male","30 to 34",11599.381973703
"Animal contact","Male","35 to 39",11242.349412256
"Animal contact","Male","40 to 44",10556.506265456
"Animal contact","Male","45 to 49",10065.530516989
"Animal contact","Male","5 to 9",3546.5866042888
"Animal contact","Male","50 to 54",9226.8418925814
"Animal contact","Male","55 to 59",8235.8160021706
"Animal contact","Male","60 to 64",6473.9610392534
"Animal contact","Male","65 to 69",4422.9133321117
"Animal contact","Male","70 to 74",3345.2087891197
"Animal contact","Male","75 to 79",2305.8192150014
"Animal contact","Male","80 plus",2290.5291895832
"Animal contact","Male","Under 5",1271.921681749
"Anxiety disorders","Female","10 to 14",238866.18677413
"Anxiety disorders","Female","15 to 19",278626.35669757
"Anxiety disorders","Female","20 to 24",260720.27868842
"Anxiety disorders","Female","25 to 29",237832.77012106
"Anxiety disorders","Female","30 to 34",209253.82181264
"Anxiety disorders","Female","35 to 39",182345.08806081
"Anxiety disorders","Female","40 to 44",158486.95666111
"Anxiety disorders","Female","45 to 49",142488.30778769
"Anxiety disorders","Female","5 to 9",97723.190109207
"Anxiety disorders","Female","50 to 54",124836.52989344
"Anxiety disorders","Female","55 to 59",108388.68889413
"Anxiety disorders","Female","60 to 64",84243.134270748
"Anxiety disorders","Female","65 to 69",57293.502486444
"Anxiety disorders","Female","70 to 74",39209.259848175
"Anxiety disorders","Female","75 to 79",22937.687851437
"Anxiety disorders","Female","80 plus",12185.801863824
"Anxiety disorders","Female","Under 5",6874.1248646757
"Anxiety disorders","Male","10 to 14",109698.79857785
"Anxiety disorders","Male","15 to 19",141367.04599584
"Anxiety disorders","Male","20 to 24",147765.94771077
"Anxiety disorders","Male","25 to 29",135125.90452624
"Anxiety disorders","Male","30 to 34",114067.24541018
"Anxiety disorders","Male","35 to 39",90911.909098223
"Anxiety disorders","Male","40 to 44",71315.505934444
"Anxiety disorders","Male","45 to 49",61492.480365959
"Anxiety disorders","Male","5 to 9",43761.636712318
"Anxiety disorders","Male","50 to 54",53882.587135233
"Anxiety disorders","Male","55 to 59",47251.175842399
"Anxiety disorders","Male","60 to 64",36210.266201903
"Anxiety disorders","Male","65 to 69",22917.764455649
"Anxiety disorders","Male","70 to 74",14973.706506789
"Anxiety disorders","Male","75 to 79",8260.7967262963
"Anxiety disorders","Male","80 plus",4238.7364198291
"Anxiety disorders","Male","Under 5",3124.700463437
"Aortic aneurysm","Female","15 to 19",NA
"Aortic aneurysm","Female","20 to 24",NA
"Aortic aneurysm","Female","25 to 29",NA
"Aortic aneurysm","Female","30 to 34",NA
"Aortic aneurysm","Female","35 to 39",NA
"Aortic aneurysm","Female","40 to 44",NA
"Aortic aneurysm","Female","45 to 49",NA
"Aortic aneurysm","Female","50 to 54",NA
"Aortic aneurysm","Female","55 to 59",NA
"Aortic aneurysm","Female","60 to 64",NA
"Aortic aneurysm","Female","65 to 69",NA
"Aortic aneurysm","Female","70 to 74",NA
"Aortic aneurysm","Female","75 to 79",NA
"Aortic aneurysm","Female","80 plus",NA
"Aortic aneurysm","Male","15 to 19",NA
"Aortic aneurysm","Male","20 to 24",NA
"Aortic aneurysm","Male","25 to 29",NA
"Aortic aneurysm","Male","30 to 34",NA
"Aortic aneurysm","Male","35 to 39",NA
"Aortic aneurysm","Male","40 to 44",NA
"Aortic aneurysm","Male","45 to 49",NA
"Aortic aneurysm","Male","50 to 54",NA
"Aortic aneurysm","Male","55 to 59",NA
"Aortic aneurysm","Male","60 to 64",NA
"Aortic aneurysm","Male","65 to 69",NA
"Aortic aneurysm","Male","70 to 74",NA
"Aortic aneurysm","Male","75 to 79",NA
"Aortic aneurysm","Male","80 plus",NA
"Appendicitis","Female","10 to 14",1699.2200919421
"Appendicitis","Female","15 to 19",2117.6183663033
"Appendicitis","Female","20 to 24",2468.0013427417
"Appendicitis","Female","25 to 29",2478.72845576
"Appendicitis","Female","30 to 34",2359.3087199069
"Appendicitis","Female","35 to 39",2052.0925300839
"Appendicitis","Female","40 to 44",1707.8544237762
"Appendicitis","Female","45 to 49",1469.8478255253
"Appendicitis","Female","5 to 9",1078.6593213855
"Appendicitis","Female","50 to 54",1249.4458306762
"Appendicitis","Female","55 to 59",1036.7317871063
"Appendicitis","Female","60 to 64",770.62249351948
"Appendicitis","Female","65 to 69",522.40867812467
"Appendicitis","Female","70 to 74",378.78619755022
"Appendicitis","Female","75 to 79",230.26811455339
"Appendicitis","Female","80 plus",149.737209327
"Appendicitis","Female","Under 5",557.33406095908
"Appendicitis","Male","10 to 14",3846.7779414841
"Appendicitis","Male","15 to 19",5003.9751755212
"Appendicitis","Male","20 to 24",5346.4169389195
"Appendicitis","Male","25 to 29",4700.8899027916
"Appendicitis","Male","30 to 34",3807.6923251477
"Appendicitis","Male","35 to 39",3106.3974945064
"Appendicitis","Male","40 to 44",2589.5864044357
"Appendicitis","Male","45 to 49",2249.1921542977
"Appendicitis","Male","5 to 9",2350.9069983354
"Appendicitis","Male","50 to 54",1788.1101108413
"Appendicitis","Male","55 to 59",1474.3114844288
"Appendicitis","Male","60 to 64",994.64567346814
"Appendicitis","Male","65 to 69",585.49979645958
"Appendicitis","Male","70 to 74",368.05567388393
"Appendicitis","Male","75 to 79",202.92662054385
"Appendicitis","Male","80 plus",125.10510705478
"Appendicitis","Male","Under 5",960.86260873728
"Asthma","Female","10 to 14",131604.0344321
"Asthma","Female","15 to 19",81829.747366662
"Asthma","Female","20 to 24",50513.242905609
"Asthma","Female","25 to 29",39648.33360285
"Asthma","Female","30 to 34",36906.437477189
"Asthma","Female","35 to 39",35802.641729511
"Asthma","Female","40 to 44",35335.627551066
"Asthma","Female","45 to 49",34762.917626315
"Asthma","Female","5 to 9",71612.494151073
"Asthma","Female","50 to 54",32626.878912735
"Asthma","Female","55 to 59",29959.159781264
"Asthma","Female","60 to 64",24906.122732673
"Asthma","Female","65 to 69",18721.870349828
"Asthma","Female","70 to 74",14616.045234589
"Asthma","Female","75 to 79",10038.810062988
"Asthma","Female","80 plus",8367.6484683073
"Asthma","Female","Under 5",1058.7982101674
"Asthma","Male","10 to 14",172360.72839879
"Asthma","Male","15 to 19",111384.43114394
"Asthma","Male","20 to 24",67723.233314186
"Asthma","Male","25 to 29",50359.29041144
"Asthma","Male","30 to 34",45403.447339706
"Asthma","Male","35 to 39",42860.200560631
"Asthma","Male","40 to 44",41415.414842549
"Asthma","Male","45 to 49",40876.953984692
"Asthma","Male","5 to 9",91278.393267406
"Asthma","Male","50 to 54",39179.785565505
"Asthma","Male","55 to 59",36946.752735695
"Asthma","Male","60 to 64",30392.344605061
"Asthma","Male","65 to 69",21421.456811207
"Asthma","Male","70 to 74",15954.061178647
"Asthma","Male","75 to 79",10261.636621326
"Asthma","Male","80 plus",8235.3721272084
"Asthma","Male","Under 5",1331.5218704878
"Atrial fibrillation and flutter","Female","30 to 34",4.4862358844068
"Atrial fibrillation and flutter","Female","35 to 39",15.974172543358
"Atrial fibrillation and flutter","Female","40 to 44",24.848379894409
"Atrial fibrillation and flutter","Female","45 to 49",31.325142693142
"Atrial fibrillation and flutter","Female","50 to 54",61.156803400817
"Atrial fibrillation and flutter","Female","55 to 59",134.58063724875
"Atrial fibrillation and flutter","Female","60 to 64",200.16947253212
"Atrial fibrillation and flutter","Female","65 to 69",194.78451021286
"Atrial fibrillation and flutter","Female","70 to 74",257.13244233486
"Atrial fibrillation and flutter","Female","75 to 79",262.61439292216
"Atrial fibrillation and flutter","Female","80 plus",627.94548520084
"Atrial fibrillation and flutter","Male","30 to 34",11.10213002959
"Atrial fibrillation and flutter","Male","35 to 39",40.32196585273
"Atrial fibrillation and flutter","Male","40 to 44",65.025590402624
"Atrial fibrillation and flutter","Male","45 to 49",85.28697745557
"Atrial fibrillation and flutter","Male","50 to 54",209.31485519958
"Atrial fibrillation and flutter","Male","55 to 59",458.14221339722
"Atrial fibrillation and flutter","Male","60 to 64",674.31535300946
"Atrial fibrillation and flutter","Male","65 to 69",771.00627314727
"Atrial fibrillation and flutter","Male","70 to 74",812.49915365108
"Atrial fibrillation and flutter","Male","75 to 79",746.50024849767
"Atrial fibrillation and flutter","Male","80 plus",1251.1543073694
"Attention-deficit/hyperactivity disorder","Female","10 to 14",6372.171624415
"Attention-deficit/hyperactivity disorder","Female","15 to 19",5830.3952239917
"Attention-deficit/hyperactivity disorder","Female","20 to 24",2394.5414790143
"Attention-deficit/hyperactivity disorder","Female","25 to 29",544.47615248843
"Attention-deficit/hyperactivity disorder","Female","30 to 34",104.47097148216
"Attention-deficit/hyperactivity disorder","Female","35 to 39",17.642459948368
"Attention-deficit/hyperactivity disorder","Female","40 to 44",2.6051761401155
"Attention-deficit/hyperactivity disorder","Female","45 to 49",0.35350877661661
"Attention-deficit/hyperactivity disorder","Female","5 to 9",4361.5866112719
"Attention-deficit/hyperactivity disorder","Female","50 to 54",0.04309108699826
"Attention-deficit/hyperactivity disorder","Female","55 to 59",0.00487978340238
"Attention-deficit/hyperactivity disorder","Female","60 to 64",0.00048097223239
"Attention-deficit/hyperactivity disorder","Female","65 to 69",4.214202285e-05
"Attention-deficit/hyperactivity disorder","Female","70 to 74",3.785184171e-06
"Attention-deficit/hyperactivity disorder","Female","75 to 79",2.917766064e-07
"Attention-deficit/hyperactivity disorder","Female","80 plus",7.827099306e-09
"Attention-deficit/hyperactivity disorder","Female","Under 5",422.06115957042
"Attention-deficit/hyperactivity disorder","Male","10 to 14",20452.450343063
"Attention-deficit/hyperactivity disorder","Male","15 to 19",18797.523992294
"Attention-deficit/hyperactivity disorder","Male","20 to 24",7736.8170187895
"Attention-deficit/hyperactivity disorder","Male","25 to 29",1797.5666366328
"Attention-deficit/hyperactivity disorder","Male","30 to 34",375.94380089403
"Attention-deficit/hyperactivity disorder","Male","35 to 39",72.101940309859
"Attention-deficit/hyperactivity disorder","Male","40 to 44",12.466442045045
"Attention-deficit/hyperactivity disorder","Male","45 to 49",2.0261345389707
"Attention-deficit/hyperactivity disorder","Male","5 to 9",14074.930129526
"Attention-deficit/hyperactivity disorder","Male","50 to 54",0.2989750331914
"Attention-deficit/hyperactivity disorder","Male","55 to 59",0.04110838111592
"Attention-deficit/hyperactivity disorder","Male","60 to 64",0.00475373769388
"Attention-deficit/hyperactivity disorder","Male","65 to 69",0.00046354302971
"Attention-deficit/hyperactivity disorder","Male","70 to 74",4.725815591e-05
"Attention-deficit/hyperactivity disorder","Male","75 to 79",4.082942234e-06
"Attention-deficit/hyperactivity disorder","Male","80 plus",1.301799609e-07
"Attention-deficit/hyperactivity disorder","Male","Under 5",1330.1162503322
"Autistic spectrum disorders","Female","10 to 14",39197.554762244
"Autistic spectrum disorders","Female","15 to 19",38677.755175002
"Autistic spectrum disorders","Female","20 to 24",36712.845641532
"Autistic spectrum disorders","Female","25 to 29",33581.0393469
"Autistic spectrum disorders","Female","30 to 34",29614.696846826
"Autistic spectrum disorders","Female","35 to 39",25509.844565652
"Autistic spectrum disorders","Female","40 to 44",21858.493773544
"Autistic spectrum disorders","Female","45 to 49",18783.645853812
"Autistic spectrum disorders","Female","5 to 9",35024.21207006
"Autistic spectrum disorders","Female","50 to 54",15714.253590079
"Autistic spectrum disorders","Female","55 to 59",12807.87250832
"Autistic spectrum disorders","Female","60 to 64",9452.2838535734
"Autistic spectrum disorders","Female","65 to 69",6372.5224137686
"Autistic spectrum disorders","Female","70 to 74",4562.4690377987
"Autistic spectrum disorders","Female","75 to 79",2825.2593965329
"Autistic spectrum disorders","Female","80 plus",2045.5853830312
"Autistic spectrum disorders","Female","Under 5",24295.846995019
"Autistic spectrum disorders","Male","10 to 14",129588.51857826
"Autistic spectrum disorders","Male","15 to 19",126125.33108308
"Autistic spectrum disorders","Male","20 to 24",118097.30552138
"Autistic spectrum disorders","Male","25 to 29",106744.84600464
"Autistic spectrum disorders","Male","30 to 34",93872.506466731
"Autistic spectrum disorders","Male","35 to 39",80504.21900214
"Autistic spectrum disorders","Male","40 to 44",68545.207303899
"Autistic spectrum disorders","Male","45 to 49",58533.989044064
"Autistic spectrum disorders","Male","5 to 9",123245.31032808
"Autistic spectrum disorders","Male","50 to 54",48448.858556218
"Autistic spectrum disorders","Male","55 to 59",39051.553977308
"Autistic spectrum disorders","Male","60 to 64",27623.351168035
"Autistic spectrum disorders","Male","65 to 69",17109.153679187
"Autistic spectrum disorders","Male","70 to 74",11371.987383878
"Autistic spectrum disorders","Male","75 to 79",6582.8104200117
"Autistic spectrum disorders","Male","80 plus",4623.4072469669
"Autistic spectrum disorders","Male","Under 5",100769.32068395
"Bipolar disorder","Female","10 to 14",13069.539686004
"Bipolar disorder","Female","15 to 19",62916.262009017
"Bipolar disorder","Female","20 to 24",131400.4097602
