"age","life.expectancy"
"Under 5",86.0304510521313
"5 to 9",79.3181991577151
"10 to 14",74.214816296318
"15 to 19",69.1947187803686
"20 to 24",64.3436358826732
"25 to 29",59.4325973796539
"30 to 34",54.4672362628475
"35 to 39",49.5403631399776
"40 to 44",44.6520924446028
"45 to 49",39.8284923517474
"50 to 54",35.103231896414
"55 to 59",30.4584696635816
"60 to 64",25.9175779978097
"65 to 69",21.5144167589336
"70 to 74",17.2945928704366
"75 to 79",13.3605812654958
"80 plus",7.4213075402016
